algorithm_name,run_n,estate_n,solution_found
bfs,1,1727,True
dfs,1,4677,True
dls,1,2852,True
ucs,1,1726,True
a-Star,1,850,True
bfs,2,3330,True
dfs,2,8932,True
dls,2,3219,True
ucs,2,3329,True
a-Star,2,1288,True
bfs,3,3730,True
dfs,3,7113,True
dls,3,2400,False
ucs,3,3729,True
a-Star,3,2155,True
bfs,4,2051,True
dfs,4,1914,True
dls,4,1395,True
ucs,4,2050,True
a-Star,4,738,True
bfs,5,7666,True
dfs,5,6167,True
dls,5,2065,False
ucs,5,7665,True
a-Star,5,5477,True
bfs,6,5838,True
dfs,6,4649,True
dls,6,1165,False
ucs,6,5837,True
a-Star,6,3349,True
bfs,7,5637,True
dfs,7,7183,True
dls,7,152,True
ucs,7,5636,True
a-Star,7,3139,True
bfs,8,6230,True
dfs,8,1466,True
dls,8,2125,True
ucs,8,6229,True
a-Star,8,2538,True
bfs,9,5538,True
dfs,9,5415,True
dls,9,3095,False
ucs,9,5537,True
a-Star,9,3384,True
bfs,10,6838,True
dfs,10,9239,True
dls,10,3650,False
ucs,10,6837,True
a-Star,10,3819,True
bfs,11,2169,True
dfs,11,158,True
dls,11,280,True
ucs,11,2168,True
a-Star,11,825,True
bfs,12,2733,True
dfs,12,6342,True
dls,12,1142,False
ucs,12,2732,True
a-Star,12,1640,True
bfs,13,5580,True
dfs,13,3207,True
dls,13,156,True
ucs,13,5579,True
a-Star,13,2724,True
bfs,14,5456,True
dfs,14,9082,True
dls,14,1302,True
ucs,14,5455,True
a-Star,14,1813,True
bfs,15,8290,True
dfs,15,614,True
dls,15,3821,False
ucs,15,8289,True
a-Star,15,4404,True
bfs,16,3639,True
dfs,16,6902,True
dls,16,1225,False
ucs,16,3638,True
a-Star,16,1594,True
bfs,17,8048,True
dfs,17,1298,True
dls,17,2581,False
ucs,17,8047,True
a-Star,17,5677,True
bfs,18,6836,True
dfs,18,1432,True
dls,18,4046,False
ucs,18,6835,True
a-Star,18,3737,True
bfs,19,1753,True
dfs,19,8552,True
dls,19,1226,False
ucs,19,1752,True
a-Star,19,798,True
bfs,20,4739,True
dfs,20,8828,True
dls,20,2741,False
ucs,20,4738,True
a-Star,20,2631,True
bfs,21,869,True
dfs,21,1294,True
dls,21,1934,True
ucs,21,868,True
a-Star,21,298,True
bfs,22,2185,True
dfs,22,7464,True
dls,22,2407,True
ucs,22,2184,True
a-Star,22,801,True
bfs,23,4100,True
dfs,23,3826,True
dls,23,2150,True
ucs,23,4099,True
a-Star,23,1624,True
bfs,24,5303,True
dfs,24,8450,True
dls,24,3561,False
ucs,24,5302,True
a-Star,24,2950,True
bfs,25,3013,True
dfs,25,2575,True
dls,25,1509,False
ucs,25,3012,True
a-Star,25,1644,True
bfs,26,8181,True
dfs,26,9206,True
dls,26,3301,False
ucs,26,8180,True
a-Star,26,5736,True
bfs,27,2867,True
dfs,27,5772,True
dls,27,3699,False
ucs,27,2866,True
a-Star,27,979,True
bfs,28,6198,True
dfs,28,5962,True
dls,28,3919,False
ucs,28,6197,True
a-Star,28,3353,True
bfs,29,2144,True
dfs,29,6777,True
dls,29,3469,False
ucs,29,2143,True
a-Star,29,1033,True
bfs,30,929,True
dfs,30,4084,True
dls,30,3171,False
ucs,30,928,True
a-Star,30,334,True
